순번,논리컬럼명,물리컬럼명,데이터,데이터 타입,기본값,제한조건,데이터 소스,컬럼설명,코드 테이블
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,4111,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,,VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,태연,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,김호섭,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,경기도 성남시 분당구 서현동 265-6 태성빌딩 지층1,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,0317016133,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,20000310,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1311110011161,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,2118703836,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,388616,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,글로벌금강제일차유동화전문유한회사,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,64999,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,,VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,글로벌금강제일차유동화전문유한회사,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,김영희,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,서울특별시 강남구 대치3동 942-10 해성2빌딩 18층,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,025552703,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,025552704,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,20011113,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1101140035889,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,2028151384,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,230407,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,글로벌렌탈,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,76390,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,"Global Rental Co., Ltd.",VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,글로벌렌탈,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,정태영,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,서울특별시 강남구 삼성동 141-28 동신빌딩 4층,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,19950518,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1101111159030,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,1078603689,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,423566,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,뤼미에르에셋,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,71531,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,Lumiere Asset co.Ltd,VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,뤼미에르에셋,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,김진환,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,서울특별시 영등포구 여의도동 대영빌딩 821호,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,027808296,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,027808294,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,20010802,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1101112300749,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,1048172649,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,419688,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,대백유동화전문유한회사,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,64999,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,"Debec Asset Securitization Specialty Co., Ltd",VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,대백유동화전문유한회사,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,전경묵,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,서울특별시 중구 을지로1가 101-1,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,0220021309,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,0220021358,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,20020603,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1101140038388,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,2158610803,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,419712,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,아이키키,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,85110,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,ikiki,VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,아이키키,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,김완철,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,https://www.icok.co.kr,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,서울특별시 강남구 청담2동 40-19 서원빌딩 아이키키(주),VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,025146264,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,025146278,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,20000701,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1101112281428,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,1198131015,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,414665,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,진명씨앤씨,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,2642,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,"JIN MYUNG C&C CO.,LTD",VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,진명씨앤씨,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,조병갑,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,https://www.jmcnc.co.kr,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,서울특별시 금천구 독산1동 1003-2,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,028092007,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,028073007,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,19990617,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1101111716012,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,1058612576,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,421869,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,한경핫벤처,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,71531,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,Hankyung Hotventure,VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,한경핫벤처,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,정인철,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,https://www.hotventure.co.kr,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,서울특별시 마포구 도화동 544,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,20000530,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1101111983968,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,1048173589,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,421957,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,우리부동산제일차유동화전문유한회사,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,66199,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,Woori Real Property 1st Securitization Specialty C,VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,우리부동산제일차유동화전문유한회사,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,한은경,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,서울특별시 중구 회현동1가 203,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,027260311,VARCHAR(15),,,DART,회사의 전화번호,
16.0,팩스번호,FAXNO,027260280,VARCHAR(15),,,DART,회사의 팩스번호,
17.0,설립일,ESTDT,20020710,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,회사의 설립일,
18.0,법인구분,CRPTP,0,VARCHAR(1),0.0,"1. 0(법인), 1(개인)",,법인사업자 개인사업자 구분,"0: 법인, 1: 개인"
19.0,법인등록번호,CRPTNO,1101140038792,VARCHAR(20),,1. 13자리 숫자,DART,법인 등록 번호,
20.0,사업자등록번호 유효성,BIZRGNO_VALID,1,VARCHAR(1),,,,사업자 등록 번호의 유효성 여부,"1: 정상, 0: 비정상"
21.0,공동사업자여부,CPRTN_PLCBIZ_YN,0,SMALLINT,0.0,"1. 0,1이 아닌 경우 제외",,"개별사업장, 공동사업장 구분","0: 개별사업자, 1: 공동사업자"
,,,,,,,,,
1.0,사업자등록번호,BIZRGNO,1078625344,VARCHAR(10),,"1. 10자리여야 함.
2. 유효성 검사 통과 여부 확인.",DART,국세청 기준 사업자 등록 번호,
2.0,고유번호,UNIQNO,427517,VARCHAR(20),,"1. 6자리인지 검사
2. 유효성 검사 실패시 NULL",DART,회사의 고유 번호,
3.0,정식명칭,OFCLNM,한국토지신탁제오차유동화전문유한회사,VARCHAR(100),,1. 빈 값이 아니어야 함.,DART,회사의 정식 명칭,
4.0,종목코드,ITMCD,,CHAR(6),,"1. 6자리, 영문+숫자 조합.",DART,주식 시장에서의 종목 코드,
5.0,최종변경일자,LASTCHGDT,20170630,VARCHAR(8),,1. 날짜 형식(YYYYMMDD),DART,정보의 최종 변경일,
6.0,업종코드,INDCD,64999,VARCHAR(10),,"1. 10자리 이하, 영문+숫자",DART,국세청 기준 업종 코드,
7.0,영문명칭,ENGABBR,"KOREIT 5th Asset Securitization Specialty Co.,Ltd.",VARCHAR(50),,1. 영문 대문자+숫자,DART,회사의 영문 약칭,
8.0,약식명칭,SHTNM,한국토지신탁제오차유동화전문유한회사,VARCHAR(50),,,DART,회사의 약칭,
9.0,대표자명,RPRSNTNM,김명덕,VARCHAR(20),,1. 빈 값이 아니어야 함.,DART,회사의 대표자 이름,
10.0,홈페이지,HMPG,,VARCHAR(100),,1. URL 형식,DART,회사의 홈페이지 주소,
11.0,중소기업여부,SMBIZ_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"중소기업, 대기업 구분","0: 중소기업, 1: 대기업"
12.0,본지점여부,MAIN_BRCH_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,"본점, 지점 구분","0: 본점, 1: 지점"
13.0,본지점일괄납부여부,MAIN_BRCH_PCKG_PYMNT_YN,,SMALLINT,,"1. 0,1이 아닌경우 제외",,본점에서 일괄납부 여부,"0: 미승인, 1: 승인"
14.0,주소,ADDR,서울특별시 영등포구 여의도동 36-3,VARCHAR(200),,1. 빈 값이 아니어야 함.,DART,회사의 주소,
15.0,전화번호,TELNO,0237872434,VARCHAR(15),,,DART,회사의 전화번호,
